Дата,Валюта,Курс к доллару
2023-11-01,RUB,92.610099
2023-11-01,EUR,0.944745
2023-11-02,RUB,93.275056
2023-11-02,EUR,0.94185
2023-11-03,RUB,91.731038
2023-11-03,EUR,0.93145
2023-11-04,RUB,91.731038
2023-11-04,EUR,0.93145
2023-11-05,RUB,91.730987
2023-11-05,EUR,0.93179
2023-11-06,RUB,92.65501
2023-11-06,EUR,0.93285
2023-11-07,RUB,92.097017
2023-11-07,EUR,0.9349
2023-11-08,RUB,91.850112
2023-11-08,EUR,0.93371
2023-11-09,RUB,91.67502
2023-11-09,EUR,0.937497
2023-11-10,RUB,92.180373
2023-11-10,EUR,0.933304
2023-11-11,RUB,92.180373
2023-11-11,EUR,0.933304
2023-11-12,RUB,92.179607
2023-11-12,EUR,0.93549
2023-11-13,RUB,91.915004
2023-11-13,EUR,0.934485
2023-11-14,RUB,90.534998
2023-11-14,EUR,0.919165
2023-11-15,RUB,89.454999
2023-11-15,EUR,0.921425
2023-11-16,RUB,89.350127
2023-11-16,EUR,0.921385
2023-11-17,RUB,89.350373
2023-11-17,EUR,0.91605
2023-11-18,RUB,89.350373
2023-11-18,EUR,0.91605
2023-11-19,RUB,89.350155
2023-11-19,EUR,0.91687
2023-11-20,RUB,88.554984
2023-11-20,EUR,0.91363
2023-11-21,RUB,88.245023
2023-11-21,EUR,0.91605
2023-11-22,RUB,88.396219
2023-11-22,EUR,0.918401
2023-11-23,RUB,88.274975
2023-11-23,EUR,0.91705
2023-11-24,RUB,89.280373
2023-11-24,EUR,0.913304
2023-11-25,RUB,89.280373
2023-11-25,EUR,0.913304
2023-11-26,RUB,89.280017
2023-11-26,EUR,0.914075
2023-11-27,RUB,89.074978
2023-11-27,EUR,0.912575
2023-11-28,RUB,88.879937
2023-11-28,EUR,0.908702
2023-11-29,RUB,88.702922
2023-11-29,EUR,0.911315
2023-11-30,RUB,89.975027
2023-11-30,EUR,0.918103
